orden_compra_id,proveedor_id,proveedor_nombre,categoria,fecha_compra,fecha_pago_acordado,fecha_pago_real,monto_compra,monto_pagado,moneda,estado,condicion_pago_dias,corroboracion_fechas,estado_pago
OC-001,PR001,Proveedor TechGlobal,Electronica,2023-01-03,2023-02-02,2023-02-01,2200000,2200000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-002,PR002,Distribuidora Alimentos SA,Alimentos,2023-01-05,2023-03-06,2023-03-05,850000,850000.0,CLP,Pagado,60,59.0,Pagado con adelanto
OC-003,PR003,Textiles del Sur,Textil,2023-01-08,2023-04-08,2023-04-10,1100000,1100000.0,CLP,Pagado,90,92.0,Pagado con retraso
OC-004,PR001,Proveedor TechGlobal,Electronica,2023-01-10,2023-02-09,2023-02-08,3500000,3500000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-005,PR004,Importadora FoodTech,Alimentos,2023-01-12,2023-02-11,2023-02-15,620000,620000.0,CLP,Pagado,30,34.0,Pagado con retraso
OC-006,PR005,Manufactura Textil Norte,Textil,2023-01-15,2023-04-15,2023-04-14,980000,980000.0,CLP,Pagado,90,89.0,Pagado con adelanto
OC-007,PR002,Distribuidora Alimentos SA,Alimentos,2023-01-18,2023-03-19,2023-03-20,720000,720000.0,CLP,Pagado,60,61.0,Pagado con retraso
OC-008,PR006,TechParts Internacional,Electronica,2023-01-20,2023-02-19,2023-02-18,4200000,4200000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-009,PR003,Textiles del Sur,Textil,2023-01-22,2023-04-22,2023-04-25,1350000,1350000.0,CLP,Pagado,90,93.0,Pagado con retraso
OC-010,PR007,Granos del Campo,Alimentos,2023-01-25,2023-02-24,2023-02-22,480000,480000.0,CLP,Pagado,30,28.0,Pagado con adelanto
OC-011,PR001,Proveedor TechGlobal,Electronica,2023-02-01,2023-03-03,2023-03-02,2800000,2800000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-012,PR004,Importadora FoodTech,Alimentos,2023-02-03,2023-04-04,2023-04-03,890000,890000.0,CLP,Pagado,60,59.0,Pagado con adelanto
OC-013,PR005,Manufactura Textil Norte,Textil,2023-02-05,2023-05-06,2023-05-08,1250000,1250000.0,CLP,Pagado,90,92.0,Pagado con retraso
OC-014,PR002,Distribuidora Alimentos SA,Alimentos,2023-02-08,2023-04-09,2023-04-10,650000,650000.0,CLP,Pagado,60,61.0,Pagado con retraso
OC-015,PR008,ElectroComponent Sur,Electronica,2023-02-10,2023-03-12,2023-03-11,3100000,3100000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-016,PR006,TechParts Internacional,Electronica,2023-02-12,2023-03-14,2023-03-15,4800000,4800000.0,CLP,Pagado,30,31.0,Pagado con retraso
OC-017,PR007,Granos del Campo,Alimentos,2023-02-15,2023-03-17,2023-03-16,520000,520000.0,CLP,Pagado,30,29.0,Pagado con adelanto
OC-018,PR003,Textiles del Sur,Textil,2023-02-18,2023-05-19,2023-05-20,1450000,1450000.0,CLP,Pagado,90,91.0,Pagado con retraso
