factura_id,cliente_id,cliente_nombre,region,categoria_producto,fecha_venta,fecha_pago,monto_venta,monto_cobrado,moneda,estado
F-0001,C001,Distribuidora Norte S.A.,Norte,Electronica,2023-01-05,2023-02-10,150000,150000,CLP,Pagado
F-0002,C002,Comercial Sur Ltda.,Sur,Alimentos,2023-01-08,2023-02-25,85000,85000,CLP,Pagado
F-0003,C003,Importadora Central,Centro,Electronica,2023-01-10,,200000,,CLP,Pendiente
F-0004,C001,Distribuidora Norte S.A.,Norte,Textil,2023-01-15,2023-03-01,320000,320000,CLP,Pagado
F-0005,C004,Retail Express S.A.,Centro,Alimentos,2023-01-18,2023-02-20,95000,95000,CLP,Pagado
F-0006,C005,MegaStore Chile,Sur,Electronica,2023-01-20,2023-04-05,410000,410000,CLP,Pagado
F-0007,C002,Comercial Sur Ltda.,Sur,Alimentos,2023-01-22,,130000,,CLP,Pendiente
F-0008,C006,Proveedores del Valle,Norte,Textil,2023-01-25,2023-02-28,75000,75000,CLP,Pagado
F-0009,C003,Importadora Central,Centro,Electronica,2023-01-28,2023-03-15,280000,280000,CLP,Pagado
F-0010,C007,Distribuidora Pacífico,Sur,Alimentos,2023-02-01,2023-03-10,110000,110000,CLP,Pagado
F-0011,C008,Comercializadora Andes,Norte,Electronica,2023-02-03,2023-04-20,500000,500000,CLP,Pagado
F-0012,C004,Retail Express S.A.,Centro,Textil,2023-02-05,2023-03-05,88000,88000,CLP,Pagado
F-0013,C009,Grupo Empresarial Sur,Sur,Electronica,2023-02-08,,350000,,CLP,Pendiente
F-0014,C001,Distribuidora Norte S.A.,Norte,Alimentos,2023-02-10,2023-03-20,62000,62000,CLP,Pagado
F-0015,C010,FastFood Supply Co.,Centro,Alimentos,2023-02-12,2023-02-28,45000,45000,CLP,Pagado
F-0016,C005,MegaStore Chile,Sur,Electronica,2023-02-15,2023-05-01,620000,620000,CLP,Pagado
F-0017,C006,Proveedores del Valle,Norte,Textil,2023-02-18,2023-03-25,93000,93000,CLP,Pagado
F-0018,C002,Comercial Sur Ltda,,Alimentos,2023-02-20,2023-03-30,71000,71000,CLP,Pagado
F-0019,C011,Inversiones Maipo,Centro,Electronica,2023-02-22,2023-04-10,415000,415000,CLP,Pagado
F-0020,C007,Distribuidora Pacífico,Sur,Alimentos,2023-02-25,2023-03-28,98000,98000,CLP,Pagado
F-0021,C012,Norte Distribuciones,Norte,Textil,2023-03-01,2023-04-05,155000,155000,CLP,Pagado
F-0022,C008,Comercializadora Andes,Norte,Electronica,2023-03-05,2023-05-10,480000,480000,CLP,Pagado
F-0023,C003,Importadora Central,Centro,Alimentos,2023-03-08,2023-04-15,67000,67000,CLP,Pagado
F-0024,C013,Supermercados Union,Sur,Alimentos,2023-03-10,,210000,,CLP,Pendiente
F-0025,C009,Grupo Empresarial Sur,Sur,Electronica,2023-03-12,2023-04-25,390000,390000,CLP,Pagado
F-0026,C004,Retail Express S.A.,Centro,Textil,2023-03-15,2023-04-20,112000,112000,CLP,Pagado
F-0027,C010,FastFood Supply Co.,Centro,Alimentos,2023-03-18,2023-04-05,55000,55000,CLP,Pagado
F-0028,C014,Distribuidora Bío-Bío,Sur,Electronica,2023-03-20,2023-06-01,700000,700000,CLP,Pagado
F-0029,C001,Distribuidora Norte S.A.,Norte,Alimentos,2023-03-22,2023-04-28,80000,80000,CLP,Pagado
F-0030,C015,TechSupply S.A.,Centro,Electronica,2023-03-25,2023-05-15,550000,550000,CLP,Pagado
F-0031,C011,Inversiones Maipo,Centro,Textil,2023-03-28,2023-05-02,175000,175000,CLP,Pagado
F-0032,C006,Proveedores del Valle,Norte,Alimentos,2023-04-01,2023-05-10,48000,48000,CLP,Pagado
F-0033,C016,Comercial Atacama,Norte,Electronica,2023-04-03,,440000,,CLP,Pendiente
F-0034,C012,Norte Distribuciones,Norte,Textil,2023-04-05,2023-05-15,168000,168000,CLP,Pagado
F-0035,C013,Supermercados Union,Sur,Alimentos,2023-04-08,2023-05-20,195000,195000,CLP,Pagado
F-0036,C007,Distribuidora Pacífico,Sur,Electronica,2023-04-10,2023-06-05,380000,380000,CLP,Pagado
F-0037,C002,Comercial Sur Ltda.,Sur,Textil,2023-04-12,2023-05-25,145000,145000,CLP,Pagado
F-0038,C017,Importadora Valpo,Centro,Electronica,2023-04-15,2023-07-01,810000,810000,CLP,Pagado
F-0039,C005,MegaStore Chile,Sur,Alimentos,2023-04-18,2023-05-28,72000,72000,CLP,Pagado
F-0040,C014,Distribuidora Bío-Bío,Sur,Textil,2023-04-20,2023-05-30,190000,190000,CLP,Pagado
